t_stamp,y,Setting_A,Setting_B,Setting_C,Setting_D,Setting_E
2023-04-13 10:52:53.957,70.39797058,0.0,0.0,0.0,0.0,1
2023-04-13 10:53:53.957,70.10442581000001,0.0,0.0,0.0,0.0,1
2023-04-13 10:54:53.960,69.99428406000001,0.0,0.0,0.0,0.0,1
2023-04-13 10:55:53.963,69.92090836,0.0,0.0,0.0,0.0,1
2023-04-13 10:56:53.963,69.88422623000001,0.0,0.0,0.0,0.0,1
2023-04-13 10:57:53.967,69.70073547000001,0.0,0.0,0.0,0.0,1
2023-04-13 10:58:53.967,69.51722565,1.0,0.0,0.0,0.0,0
2023-04-13 10:59:53.970,69.26036301,1.0,0.0,0.0,0.0,0
2023-04-13 11:00:53.970,68.70993271,1.0,0.0,0.0,0.0,0
2023-04-13 11:01:53.973,67.42549744,1.0,0.0,0.0,0.0,0
2023-04-13 11:02:53.973,66.03092041000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:03:53.977,64.8218483,1.0,0.0,0.0,0.0,0
2023-04-13 11:04:53.977,63.687956240000005,1.0,0.0,0.0,0.0,0
2023-04-13 11:05:53.977,62.81010666,1.0,0.0,0.0,0.0,0
2023-04-13 11:06:53.977,62.04195251,1.0,0.0,0.0,0.0,0
2023-04-13 11:07:53.980,61.49333038,1.0,0.0,0.0,0.0,0
2023-04-13 11:08:53.983,61.27387848000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:09:53.983,61.383577730000006,1.0,0.0,0.0,0.0,0
2023-04-13 11:10:53.987,61.23723450000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:11:53.987,60.8349556,1.0,0.0,0.0,0.0,0
2023-04-13 11:12:53.990,60.43259659,1.0,0.0,0.0,0.0,0
2023-04-13 11:13:53.990,60.03023376,1.0,0.0,0.0,0.0,0
2023-04-13 11:14:53.993,59.59131088000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:15:53.993,59.3352684,1.0,0.0,0.0,0.0,0
2023-04-13 11:16:53.997,59.15238419000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:17:53.997,58.969469450000005,1.0,0.0,0.0,0.0,0
2023-04-13 11:18:54.000,58.75002518000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:19:54.000,58.530546570000006,1.0,0.0,0.0,0.0,0
2023-04-13 11:20:54.003,58.237966920000005,1.0,0.0,0.0,0.0,0
2023-04-13 11:21:54.003,57.981867220000005,1.0,0.0,0.0,0.0,0
2023-04-13 11:22:54.007,57.76239624,1.0,0.0,0.0,0.0,0
2023-04-13 11:23:54.007,57.39668121,1.0,0.0,0.0,0.0,0
2023-04-13 11:24:54.010,57.21377411,1.0,0.0,0.0,0.0,0
2023-04-13 11:25:54.013,56.884539030000006,1.0,0.0,0.0,0.0,0
2023-04-13 11:26:54.027,56.55539551000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:27:54.030,56.11647263,1.0,0.0,0.0,0.0,0
2023-04-13 11:28:54.033,55.75068130000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:29:54.033,55.34831848,1.0,0.0,0.0,0.0,0
2023-04-13 11:30:54.037,55.23862305000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:31:54.037,55.82386627000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:32:54.040,56.81141129000001,1.0,0.0,0.0,0.0,0
2023-04-13 11:33:54.040,57.689260860000005,0.0,0.0,0.0,0.0,1
2023-04-13 11:34:54.043,58.42079773,0.0,0.0,0.0,0.0,1
2023-04-13 11:35:54.043,58.969469450000005,0.0,0.0,0.0,0.0,1
2023-04-13 11:36:54.047,59.262083440000005,0.0,0.0,0.0,0.0,1
2023-04-13 11:37:54.050,59.48152771000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:38:54.050,59.627874760000005,0.0,0.0,0.0,0.0,1
2023-04-13 11:39:54.053,59.73757401,0.0,0.0,0.0,0.0,1
2023-04-13 11:40:54.053,59.84732666000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:41:54.057,60.06679764,0.0,0.0,0.0,0.0,1
2023-04-13 11:42:54.057,60.43259659,0.0,0.0,0.0,0.0,1
2023-04-13 11:43:54.060,60.72517624000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:44:54.060,61.12753525000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:45:54.063,61.49333038,0.0,0.0,0.0,0.0,1
2023-04-13 11:46:54.067,61.96882095000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:47:54.067,62.371179960000006,0.0,0.0,0.0,0.0,1
2023-04-13 11:48:54.070,62.73691788000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:49:54.070,63.10271301,0.0,0.0,0.0,0.0,1
2023-04-13 11:50:54.070,63.468508150000005,0.0,0.0,0.0,0.0,1
2023-04-13 11:51:54.073,63.94399872000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:52:54.077,64.27314224,0.0,0.0,0.0,0.0,1
2023-04-13 11:53:54.077,64.6023735,0.0,0.0,0.0,0.0,1
2023-04-13 11:54:54.080,64.89497986,0.0,0.0,0.0,0.0,1
2023-04-13 11:55:54.080,65.07786026000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:56:54.083,65.37047043000001,0.0,0.0,0.0,0.0,1
2023-04-13 11:57:54.083,65.66400375,0.0,0.0,0.0,0.0,1
2023-04-13 11:58:54.087,65.92086258,0.0,0.0,0.0,0.0,1
2023-04-13 11:59:54.090,66.10437622,0.0,0.0,0.0,0.0,1
2023-04-13 12:00:54.090,66.36123505,0.0,0.0,0.0,0.0,1
2023-04-13 12:01:54.093,66.58143845000001,0.0,0.0,0.0,0.0,1
